option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:09:44,108.6,1,WALK,"",0.3,0
1,08:09:44,108.6,2,RAIL,BNSF,30,20
1,08:09:44,108.6,3,WALK,"",7.4,0
1,08:09:44,108.6,4,SUBWAY,Blue,49,1.9
1,08:09:44,108.6,5,WALK,"",0.1,0
