option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:04:02,35.8,1,WALK,"",2.3,0
1,08:04:02,35.8,2,RAIL,X4,23,1.7
1,08:04:02,35.8,3,WALK,"",0.9,0
1,08:04:02,35.8,4,RAIL,BNSF,6,1.2
1,08:04:02,35.8,5,WALK,"",0.8,0
2,08:09:44,42.2,1,WALK,"",2.3,0
2,08:09:44,42.2,2,RAIL,X1,25,3
2,08:09:44,42.2,3,WALK,"",0.4,0
2,08:09:44,42.2,4,BUS,157,2.3,1.5
2,08:09:44,42.2,5,WALK,"",0.8,0
2,08:09:44,42.2,6,BUS,8,3.5,2.3
2,08:09:44,42.2,7,WALK,"",1.2,0
