option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:03:26,53.8,1,WALK,"",2.3,0
1,08:03:26,53.8,2,RAIL,UP-N,28,1.3
1,08:03:26,53.8,3,WALK,"",8.8,0
1,08:03:26,53.8,4,BUS,8,8.8,3.5
1,08:03:26,53.8,5,WALK,"",1.2,0
2,08:09:44,63,1,WALK,"",2.6,0
2,08:09:44,63,2,SUBWAY,P,33.5,3.7
2,08:09:44,63,3,WALK,"",0.1,0
2,08:09:44,63,4,SUBWAY,Blue,8,1.8
2,08:09:44,63,5,WALK,"",6,0
2,08:09:44,63,6,BUS,8,5,1.2
2,08:09:44,63,7,WALK,"",1.2,0
