option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:04:02,46.1,1,WALK,"",0.2,0
1,08:04:02,46.1,2,RAIL,X4,44,1.8
1,08:04:02,46.1,3,WALK,"",0.1,0
2,08:09:44,47.4,1,WALK,"",0.2,0
2,08:09:44,47.4,2,RAIL,X1,44,3.1
2,08:09:44,47.4,3,WALK,"",0.1,0
