Lisle,"1,727","1,908","2,021","2,171"
Lockport,327,385,377,323
Lombard,"1,472","1,391","1,331","1,206"
Long Lake,104,84,90,97
Longwood (95th Street),58,49,129,128
Main Street (Downers Grove),"2,562","2,518","2,678","2,282"
Main Street (Evanston),"1,023","1,129","1,143",739
Manhattan,18,18,23,-
Mannheim,47,23,12,14
Mars,117,110,104,108
Matteson,597,450,549,935
Mayfair,307,292,346,265
Maywood,69,70,82,99
McCormick Place,145,115,85,125
McHenry,91,80,103,122
Medinah,455,507,476,417
Melrose Park,107,105,121,105
Midlothian,890,"1,039",964,"1,217"
Millennium Station,"8,755","9,310","9,599","16,077"
Miller,-,-,-,426
Mokena,557,577,539,681
Mont Clare,311,351,322,418
Morton Grove,946,996,978,900
Mount Prospect,"1,782","1,883","1,743","1,618"
Mundelein,294,265,290,227
Naperville,"3,726","4,209","4,099","3,784"
National Street,581,674,657,537
New Lenox,"1,035",954,"1,100","1,028"
North Chicago,177,188,218,208
North Glenview,"1,124","1,113","1,120",424
Northbrook,"1,271","1,270","1,273","1,257"
Norwood Park,374,311,346,262
O'Hare Transfer,128,158,171,74
Oak Forest,996,967,"1,151","1,569"
Oak Lawn Patriot,"1,248","1,329","1,266",819
Oak Park (Marion Street),"1,106","1,148","1,213","1,020"
Ogden Dunes,-,-,-,216
Ogilvie Transportation Center,"43,796","42,120","40,254","36,827"
Olympia Fields,695,665,614,219
Palatine,"2,367","2,364","2,307","1,874"
Palos Heights,241,230,246,-
Palos Park,423,430,435,211
Park Ridge,"1,185","1,066",933,874
Pingree Rd.,718,760,697,-
Prairie Crossing,397,436,468,-
Prairie Crossing (Libertyville),113,108,138,81
Prairie Street,24,37,34,56
Prairie View,437,376,362,239
Prospect Heights,272,282,302,193
Racine Avenue,24,37,27,41
Ravenswood,"2,545","2,752","2,089","1,373"
Ravinia,249,305,212,333
Richton Park,915,"1,146","1,172","1,587"
River Forest,441,532,366,374
River Grove,282,287,298,332
Riverdale,162,195,215,495
Riverside,574,574,608,562
Robbins,137,122,89,126
Rogers Park,"1,261","1,220","1,273",861
Romeoville,144,-,-,-
Roosevelt Road,477,628,571,668
Roselle,"1,369","1,409","1,361","1,325"
Rosemont,28,33,36,-
Round Lake,406,337,471,550
