option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:09:44,184.2,1,WALK,"",14.8,0
1,08:09:44,184.2,2,BUS,313,27,28.5
1,08:09:44,184.2,3,WALK,"",6.3,0
1,08:09:44,184.2,4,SUBWAY,G,34.5,4
1,08:09:44,184.2,5,WALK,"",14.5,0
1,08:09:44,184.2,6,RAIL,RI,34,6.4
1,08:09:44,184.2,7,WALK,"",14.4,0
