network,option,departure_time,total_duration,segment,mode,route,segment_duration,wait
baseline,1,08:09:44,93.4,1,WALK,"",0.1,0
baseline,1,08:09:44,93.4,2,RAIL,RI,26,9.2
baseline,1,08:09:44,93.4,3,WALK,"",2.5,0
baseline,1,08:09:44,93.4,4,SUBWAY,Blue,47.5,8.1
baseline,1,08:09:44,93.4,5,WALK,"",0.1,0
