GEOID,w,today,scenario,status,saved,redpct
060376004004,1,,,no_transit_either,,
060376007031,1,,,no_transit_either,,
060376009022,1,,,no_transit_either,,
060376009111,1,,,no_transit_either,,
060376010012,1,,,no_transit_either,,
060376017002,1,,,no_transit_either,,
060376017003,1,,,no_transit_either,,
060376025072,1,,,no_transit_either,,
060376030052,1,,,no_transit_either,,
060376042002,1,,,no_transit_either,,
060376042004,1,,,no_transit_either,,
060377001022,1,,,no_transit_either,,
060377015011,1,,,no_transit_either,,
060377020021,1,,,no_transit_either,,
060377028011,1,,,no_transit_either,,
060411022031,1,,,no_transit_either,,
060411060023,1,,,no_transit_either,,
060411081001,1,,,no_transit_either,,
060411122031,1,,,no_transit_either,,
060411130001,1,,,no_transit_either,,
060411212002,1,,,no_transit_either,,
060411281001,1,,,no_transit_either,,
060590014031,1,,,no_transit_either,,
060590113001,1,,,no_transit_either,,
060590114012,1,,,no_transit_either,,
060590115041,1,,,no_transit_either,,
060590218212,1,,,no_transit_either,,
060590320595,1,,,no_transit_either,,
060590320654,1,,,no_transit_either,,
060590421111,1,,,no_transit_either,,
060590423262,1,,,no_transit_either,,
060590524291,1,,,no_transit_either,,
060590525242,1,,,no_transit_either,,
060590525275,1,,,no_transit_either,,
060590626401,1,,,no_transit_either,,
060590750042,1,,,no_transit_either,,
060590889031,1,,,no_transit_either,,
060590995114,1,,,no_transit_either,,
060591102021,1,,,no_transit_either,,
060591102032,1,,,no_transit_either,,
060591103031,1,,,no_transit_either,,
060610207142,1,,,no_transit_either,,
060610210383,1,,,no_transit_either,,
060650402032,1,,,no_transit_either,,
060650403051,1,,,no_transit_either,,
060650404041,1,,,no_transit_either,,
060650405012,2,,,no_transit_either,,
060650427462,1,,,no_transit_either,,
060650430013,1,,,no_transit_either,,
060650432012,1,,,no_transit_either,,
060650432113,1,,,no_transit_either,,
060650432671,1,,,no_transit_either,,
060650444052,1,,,no_transit_either,,
060650446043,1,,,no_transit_either,,
060650449041,1,,,no_transit_either,,
060650452133,1,,,no_transit_either,,
060650452351,1,,,no_transit_either,,
060650456121,1,,,no_transit_either,,
060650464051,1,,,no_transit_either,,
060650491011,1,,,no_transit_either,,
060650507011,1,,,no_transit_either,,
060670071052,1,,,no_transit_either,,
060670072091,1,,,no_transit_either,,
060670074132,1,,,no_transit_either,,
060670074232,1,,,no_transit_either,,
060670089072,1,,,no_transit_either,,
060710001181,1,,,no_transit_either,,
060710008142,1,,,no_transit_either,,
060710008171,1,,,no_transit_either,,
060710019063,1,,,no_transit_either,,
060710019111,1,,,no_transit_either,,
060710020273,1,,,no_transit_either,,
060710020502,1,,,no_transit_either,,
060710023133,1,,,no_transit_either,,
060710127001,1,,,no_transit_either,,
060730083052,1,,,no_transit_either,,
060730083581,1,,,no_transit_either,,
060730085132,1,,,no_transit_either,,
060730097033,1,,,no_transit_either,,
060730170373,1,,,no_transit_either,,
060730170414,1,,,no_transit_either,,
060730170541,1,,,no_transit_either,,
060730170652,1,,,no_transit_either,,
060730215021,1,,,no_transit_either,,
060750119022,1,,,no_transit_either,,
060750130021,1,,,no_transit_either,,
060750133003,1,,,no_transit_either,,
060750201022,1,,,no_transit_either,,
060750253004,1,,,no_transit_either,,
060750256004,1,,,no_transit_either,,
060750305002,1,,,no_transit_either,,
060750310002,1,,,no_transit_either,,
060750326011,1,,,no_transit_either,,
060750328011,1,,,no_transit_either,,
060750351012,1,,,no_transit_either,,
060750402002,1,,,no_transit_either,,
060750604002,1,,,no_transit_either,,
060750610003,1,,,no_transit_either,,
060750612003,1,,,no_transit_either,,
060750615082,1,,,no_transit_either,,
060790116002,1,,,no_transit_either,,
060816004021,1,,,no_transit_either,,
060816013021,1,,,no_transit_either,,
060816016041,1,,,no_transit_either,,
060816019021,1,,,no_transit_either,,
060816045002,1,,,no_transit_either,,
060816074001,1,,,no_transit_either,,
060816085021,1,,,no_transit_either,,
060816097002,1,,,no_transit_either,,
060816103031,1,,,no_transit_either,,
060816107004,1,,,no_transit_either,,
060816116002,1,,,no_transit_either,,
060816128002,1,,,no_transit_either,,
060816139002,1,,,no_transit_either,,
060830006005,1,,,no_transit_either,,
060830023033,1,,,no_transit_either,,
060830029333,1,,,no_transit_either,,
060855119171,1,,,no_transit_either,,
060890108053,1,,,no_transit_either,,
060890112094,1,,,no_transit_either,,
060971513012,1,,,no_transit_either,,
080010083083,1,,,no_transit_either,,
080010084013,1,,,no_transit_either,,
080010084023,1,,,no_transit_either,,
080050049521,1,,,no_transit_either,,
080050056252,1,,,no_transit_either,,
080050056303,1,,,no_transit_either,,
080050056341,1,,,no_transit_either,,
080050056353,1,,,no_transit_either,,
080050067051,1,,,no_transit_either,,
080050071103,1,,,no_transit_either,,
080050071121,1,,,no_transit_either,,
080050071132,1,,,no_transit_either,,
080050072021,1,,,no_transit_either,,
080050077021,1,,,no_transit_either,,
080050802004,1,,,no_transit_either,,
080050807001,1,,,no_transit_either,,
080050814003,1,,,no_transit_either,,
080050831003,1,,,no_transit_either,,
080050846003,1,,,no_transit_either,,
080050846004,1,,,no_transit_either,,
080050851003,1,,,no_transit_either,,
080050860012,1,,,no_transit_either,,
080050864002,1,,,no_transit_either,,
080050869002,1,,,no_transit_either,,
080050873012,1,,,no_transit_either,,
080130122062,1,,,no_transit_either,,
080130127055,1,,,no_transit_either,,
080130130062,1,,,no_transit_either,,
080130132152,1,,,no_transit_either,,
080130608024,1,,,no_transit_either,,
080150003003,1,,,no_transit_either,,
080310001022,1,,,no_transit_either,,
