network,option,departure_time,total_duration,segment,mode,route,segment_duration,wait
xroutes,1,08:09:44,100.4,1,WALK,"",0.4,0
xroutes,1,08:09:44,100.4,2,RAIL,X5,20,12.8
xroutes,1,08:09:44,100.4,3,WALK,"",2.5,0
xroutes,1,08:09:44,100.4,4,BUS,330,42,8.6
xroutes,1,08:09:44,100.4,5,WALK,"",3.2,0
xroutes,1,08:09:44,100.4,6,SUBWAY,Blue,6,4.8
xroutes,1,08:09:44,100.4,7,WALK,"",0.1,0
