station,boardings_2018,boardings_2016,boardings_2014,boardings_2002,alightings_2018,alightings_2016,alightings_2014,alightings_2002
Hammond,-,-,-,"1,126",-,-,-,"1,124"
Hanover Park,"1,238","1,486","1,414","1,431","1,200","1,442","1,420","1,413"
Hanson Park,58,60,46,53,60,66,52,61
Harlem Avenue,451,421,497,532,383,377,436,500
Harvard,265,221,275,259,236,234,208,263
Harvey,471,542,640,"1,125",496,573,744,"1,190"
Hazel Crest,261,412,379,608,238,387,389,618
Healy,323,345,322,309,361,370,309,300
Hegewisch,-,-,-,"1,526",-,-,-,"1,545"
Hermosa (C),-,-,-,100,-,-,-,106
Hickory Creek,"1,079",999,992,"1,135",996,923,930,"1,125"
Highland Park,"1,005",978,875,"1,107",971,985,891,"1,123"
Highlands,202,203,167,213,177,207,197,196
Highwood,242,293,314,311,224,283,254,286
Hinsdale,"1,155","1,160","1,168","1,047","1,082","1,110","1,135","1,067"
Hollywood,120,120,95,129,104,191,108,100
Homewood,"1,171","1,308","1,244","1,466","1,143","1,237","1,316","1,401"
Hubbard Woods,396,374,245,397,321,311,216,395
Hudson Lake,-,-,-,5,-,-,-,5
Indian Hill,387,382,201,368,376,373,171,358
Ingleside,63,74,89,104,68,92,90,96
Irving Park,439,443,474,451,662,482,479,405
Itasca,555,601,564,518,569,602,520,535
Ivanhoe,520,628,697,"1,153",514,591,663,"1,084"
Jefferson Park,510,656,599,749,688,673,675,742
Joliet,996,977,"1,110","1,028",957,916,"1,145",993
Kedzie,41,52,56,36,76,66,101,32
Kenilworth,501,500,305,435,511,463,269,414
Kenosha,345,276,358,341,327,307,415,348
Kensington (115th Street),"1,136","1,120","1,081","1,352","1,043","1,016","1,061","1,394"
La Fox,295,276,313,-,227,268,315,-
LaGrange Road,"1,452","1,340","1,468","1,353","1,532","1,452","1,452","1,385"
LaSalle Street,"12,606","12,656","13,239","16,868","12,739","13,020","13,203","16,821"
LaVergne,174,187,191,201,184,203,196,185
Lake Bluff,647,681,626,504,641,664,661,517
Lake Cook Road,"1,086","1,271","1,263","1,154","1,193","1,350","1,288","1,224"
Lake Forest,747,717,727,726,719,703,734,720
Lake Forest (West),607,548,570,576,682,589,623,572
Lake Villa,130,148,176,143,120,129,166,120
Laraway Road,19,24,27,-,20,27,11,-
Lemont,455,489,456,407,434,434,443,386
Libertyville,801,825,826,"1,119",753,825,881,"1,123"
Lisle,"1,895","1,789","1,993","2,204","1,727","1,908","2,021","2,171"
Lockport,344,412,352,303,327,385,377,323
Lombard,"1,502","1,343","1,321","1,213","1,472","1,391","1,331","1,206"
Long Lake,93,96,105,102,104,84,90,97
Longwood (95th Street),3,60,85,133,58,49,129,128
Main Street (Downers Grove),"2,492","2,376","2,473","2,371","2,562","2,518","2,678","2,282"
Main Street (Evanston),"1,130","1,133","1,093",769,"1,023","1,129","1,143",739
Manhattan,19,22,29,-,18,18,23,-
Mannheim,35,31,30,13,47,23,12,14
Mars,144,142,115,109,117,110,104,108
Matteson,591,507,592,922,597,450,549,935
Mayfair,281,284,340,254,307,292,346,265
Maywood,87,82,81,93,69,70,82,99
McCormick Place,124,108,92,118,145,115,85,125
McHenry,85,96,114,140,91,80,103,122
Medinah,439,573,520,399,455,507,476,417
Melrose Park,86,87,103,109,107,105,121,105
Midlothian,938,"1,015",950,"1,179",890,"1,039",964,"1,217"
Millennium Station,"9,292","9,798","10,353","17,896","8,755","9,310","9,599","16,077"
Miller,-,-,-,449,-,-,-,426
Mokena,559,604,572,728,557,577,539,681
Mont Clare,303,335,291,393,311,351,322,418
Morton Grove,967,969,"1,054",943,946,996,978,900
Mount Prospect,"1,879","1,816","1,774","1,655","1,782","1,883","1,743","1,618"
Mundelein,276,277,304,235,294,265,290,227
Naperville,"4,015","4,107","4,002","3,734","3,726","4,209","4,099","3,784"
National Street,584,642,700,551,581,674,657,537
New Lenox,"1,046","1,115","1,146","1,076","1,035",954,"1,100","1,028"
North Chicago,170,170,232,190,177,188,218,208
North Glenview,"1,163","1,070","1,097",448,"1,124","1,113","1,120",424
Northbrook,"1,259","1,392","1,334","1,349","1,271","1,270","1,273","1,257"
Norwood Park,365,359,350,269,374,311,346,262
O'Hare Transfer,113,123,144,55,128,158,171,74
Oak Forest,"1,091","1,136","1,141","1,591",996,967,"1,151","1,569"
Oak Lawn Patriot,"1,186","1,329","1,246",788,"1,248","1,329","1,266",819
Oak Park (Marion Street),991,905,"1,129",960,"1,106","1,148","1,213","1,020"
Ogden Dunes,-,-,-,218,-,-,-,216
Ogilvie Transportation Center,"42,500","42,412","39,552","36,731","43,796","42,120","40,254","36,827"
Olympia Fields,679,643,665,186,695,665,614,219
Palatine,"2,482","2,378","2,334","1,894","2,367","2,364","2,307","1,874"
Palos Heights,232,238,254,-,241,230,246,-
Palos Park,424,432,418,214,423,430,435,211
Park Ridge,"1,168","1,043",954,932,"1,185","1,066",933,874
Pingree Rd.,707,751,744,-,718,760,697,-
Prairie Crossing,368,422,451,-,397,436,468,-
Prairie Crossing (Libertyville),87,102,125,76,113,108,138,81
Prairie Street,30,20,46,43,24,37,34,56
Prairie View,415,388,345,255,437,376,362,239
Prospect Heights,304,266,277,240,272,282,302,193
Racine Avenue,28,31,33,43,24,37,27,41
