trctid,workers,lat,lon
17031760801,165,41.9793789951515,-87.8424378806061
17031839100,160,41.8812440575,-87.6317741875
17031760803,149,41.9748331738255,-87.8422286033557
17031811600,142,41.9507233816901,-87.8707441338028
17031150200,114,41.9596718412281,-87.7526222763158
17031770800,106,41.9636044849057,-87.8680097783019
17031811500,92,41.9412875956522,-87.8715544489131
17031770901,90,41.9700669066667,-87.8167283911111
17031831100,90,41.9428999455556,-87.72138967
17031805111,85,42.0309528,-87.9394789529412
17031806103,85,42.0586590682353,-87.9112165411765
17031770201,84,41.9974368833333,-88.0198050964286
17031170400,83,41.9486164807229,-87.8121357409639
17031804901,83,42.0599754385542,-87.9329040036144
17031150300,81,41.9612772197531,-87.7614812197531
17043840103,81,41.9488985888889,-87.9701399728395
17031810900,79,41.9179227303798,-87.8096764392405
17031811401,79,41.9335425202532,-87.8731885088608
17031770300,78,42.0041005076923,-87.9872650051282
17031811100,78,41.9291367666667,-87.8343589128205
17031810502,77,41.9589439961039,-87.8102687402597
17031100600,76,41.9784789381579,-87.7970296710526
17031805108,76,42.0435625013158,-87.9659015144737
17031160300,75,41.9577050613333,-87.7302449306667
17031805105,75,42.0607401853334,-88.014585904
17031805107,75,42.039855708,-87.9705588573333
17031806201,75,42.0450648746667,-87.8899615613334
17031831600,75,41.925772988,-87.7981723453333
17031804902,74,42.0441621162162,-87.9323765310811
17031110502,73,41.970335490411,-87.7595721246576
17031770202,73,42.0039545452055,-88.0044510452055
17031804711,73,42.035731760274,-88.138609530137
17031090200,72,42.0048687847222,-87.8123444027778
17031140400,72,41.9710170444445,-87.7377037708333
17031804606,72,42.0081049138889,-88.0498987722222
17043840201,72,41.9770974027778,-88.0104954555555
17043840802,72,41.9543302986111,-87.9486220236111
17089850707,72,42.0999823777778,-88.3952206027778
17031811800,71,41.9140264535211,-87.9003730901408
17031170500,70,41.94832772,-87.82974561
17031810600,70,41.9633633657143,-87.7976913342857
17031811702,70,41.9261699471429,-87.90284586
17031100200,69,41.9948871811594,-87.7955565333333
17031770602,69,42.0141277434783,-87.8987705072464
17031805701,69,42.0034075971014,-87.849134426087
17031810501,69,41.9616310724638,-87.8251058811594
17031811200,69,41.9260732637681,-87.8490983130435
17043840703,69,41.9410293971014,-87.933884757971
17031180100,68,41.9337969382353,-87.7980902220588
17031802608,68,42.1016285926471,-87.9533346308824
17031810400,68,41.9886156411765,-87.8291020441177
17031816900,68,41.8856714617647,-87.8908603323529
17031802802,67,42.0733320537313,-87.9401233492537
17031805902,67,42.0325788238806,-87.8443882328358
17031806001,67,42.0581435089552,-87.8501153298508
17031810701,67,41.9308729238806,-87.8111671820896
17031811402,67,41.9263756268657,-87.8745864626866
17043840101,67,41.9692068373135,-87.9702139492537
17031100300,66,41.9886949924243,-87.8059108924243
17031804716,66,42.0420601409091,-88.1151344242424
17031805002,66,42.0415439787879,-87.9507192469697
17031806300,66,42.0361869515152,-87.9025460378788
17031806502,66,42.0187906272727,-87.8813926257576
17031831800,66,41.9783225969697,-87.7132801863637
17089850705,66,42.0994035575758,-88.5072735515151
17031770902,65,41.9703492569231,-87.83884374
17031806002,65,42.0473547184615,-87.8594641923077
17031811301,65,41.9182612661538,-87.8850079769231
17031100700,64,41.972217015625,-87.79771614375
17031171000,64,41.942156759375,-87.79563815625
17031804803,63,42.0021823365079,-88.0836243063492
17031100500,62,41.9779026080645,-87.8192321629032
17031110400,62,41.9722122951613,-87.7725556887097
17031151002,62,41.9425329596774,-87.7476845645161
17031161300,62,41.9427911548387,-87.7310997516129
17031770700,62,41.9919937822581,-87.8712824645161
17031804106,62,42.0876583548387,-88.0520294419355
17031805802,62,42.0149749241935,-87.847515616129
17031805901,62,42.0371104080645,-87.8709637064516
17031806501,62,42.0169601967742,-87.8913246129032
17031081800,61,41.8925899836066,-87.6380866
17031110300,61,41.9744520639344,-87.7825460721311
17031140602,61,41.9649960311475,-87.7207003196721
17031804104,61,42.1040937163935,-88.1131900655738
17031804202,61,42.1232415147541,-88.1295731311475
17031804804,61,41.9980392262295,-88.1297904557377
17031170300,60,41.9494386833333,-87.79909056
17031040202,59,41.9801087864407,-87.693395681356
17031804607,59,41.997067520339,-88.0484766033898
17031810702,59,41.9252421847458,-87.8167487322034
17031804713,58,42.0542765103448,-88.0877038034483
17031839000,58,41.8714319293104,-87.6310261258621
17031060900,57,41.9490044385965,-87.6456037350877
17031150401,57,41.964673831579,-87.7721648473684
17031190402,57,41.934613922807,-87.7709830192982
17031220602,57,41.9297745035088,-87.711367268421
17031250500,57,41.9153269807018,-87.7966189105263
17031250700,57,41.9062370403509,-87.760794077193
17031804305,57,42.0339709105263,-88.164238954386
17031150402,56,41.9568899839286,-87.7727844803571
17031210602,56,41.933925025,-87.7121514964286
17031803702,56,42.1067449035714,-88.0534127892857
17031804308,56,42.0251519732143,-88.1533612035714
17031804701,56,42.0579543928571,-88.1316724964286
17031805600,56,42.0024698821429,-87.8302951196429
17031020601,55,42.00041598,-87.7014086418182
17031160400,55,41.9576548236364,-87.7225433545455
17031330102,55,41.8639801327273,-87.6238645109091
17031804603,55,42.0571266527273,-88.04340514
17031806102,55,42.0479482345455,-87.9059241145455
17031810800,55,41.9317469381818,-87.8208297381818
17031110100,54,41.9855456888889,-87.7714449944445
17031150502,54,41.9565191481482,-87.7819544814815
17031804509,54,42.0045714074074,-88.1648440555556
17031806202,54,42.03732085,-87.8877723444444
17043840705,54,41.9205767055556,-87.951991212963
17031031700,53,41.9659376320755,-87.6630550566038
17031151100,53,41.9425826320755,-87.7619059207547
17031191100,53,41.9193707962264,-87.7508935660377
17043841314,53,41.9785288150943,-88.169687754717
17031032100,52,41.9582244384615,-87.6531036519231
17031160200,52,41.9594341846154,-87.7367345019231
17031170200,52,41.9491434403846,-87.7817905653846
17031770601,52,42.0286931788462,-87.9054038269231
17031803300,52,42.0848385173077,-87.9893578961539
17031806006,52,42.0505988038462,-87.8508682230769
17031818300,52,41.8790964673077,-87.9019572461539
17031060800,51,41.9536047333333,-87.6471942196078
17031100100,51,41.9897149470588,-87.7830869627451
17031150700,51,41.9493808294118,-87.7621936529412
17031280100,51,41.8860685764706,-87.643535545098
17031804710,51,42.0312486294118,-88.1054821941177
17031804810,51,42.0153625843137,-88.082755545098
17043841104,51,41.981708154902,-88.0882406117647
17031130300,50,41.9853395,-87.713466106
17031221400,50,41.920645698,-87.694883542
17031802801,50,42.08312318,-87.959069846
17031805402,50,42.030184118,-87.81071963
17031817000,50,41.88680369,-87.874256272
17111871502,50,42.224099708,-88.461405802
17031061902,49,41.9427947795918,-87.641363867347
17031150800,48,41.9497891416667,-87.75189088125
17031804306,48,42.0212983145833,-88.1745570541667
17031804512,48,42.0177596333333,-88.2162780875
17031804513,48,42.0069464895833,-88.2202222125
17031804712,48,42.0377200979167,-88.12879181875
17031804809,48,42.01166225625,-88.1019445645833
17031806104,48,42.0602943416667,-87.86786109375
17031811000,48,41.9148054125,-87.8193061625
17031831500,48,41.9278781375,-87.7879591541667
17043841004,48,41.9770701645833,-88.0671619541666
17043842800,48,41.8981243041667,-87.9287136125
17089850710,48,42.0836988208333,-88.4364772958334
17031140200,47,41.9706645021277,-87.7135095191489
17031200100,47,41.9352411851064,-87.7380989106383
17031252000,47,41.8836041851064,-87.7694129510639
17031803400,47,42.0764293893617,-87.9686110723404
17031804609,47,42.0300656808511,-88.0449715191489
17031804611,47,42.0200999446808,-88.0691219787234
17031807300,47,42.0344783148936,-87.7549555191489
17031817900,47,41.8614902808511,-87.8503633340426
17043840102,47,41.9601238829787,-87.996280487234
17031171100,46,41.9418315413043,-87.7822464826087
17031251300,46,41.8990922934783,-87.7702511760869
17031802701,46,42.0845007673913,-87.9184427108696
17031804102,46,42.095342376087,-88.0764476065217
17031807700,46,42.0203397804348,-87.7532360434783
17031833100,46,41.8791604065217,-87.6550173304348
17111871312,46,42.2069975413044,-88.2691031978261
17031020702,45,41.9943376533333,-87.7040081333333
17031020802,45,41.9940849444444,-87.6943355711111
17031140800,45,41.96392828,-87.7027501111111
17031210601,45,41.93749336,-87.7126577333333
17031242100,45,41.8992652511111,-87.6698279022222
17031804403,45,42.0524702933333,-88.2470552977778
17031804506,45,42.0041798933333,-88.1934549222222
17031817101,45,41.8766875377778,-87.8781256555556
17043841114,45,41.9461470822222,-88.1118089066667
17031040201,44,41.9722244522727,-87.6944762840909
17031151200,44,41.94253815,-87.7705848363637
17031160800,44,41.9506802477273,-87.7125307090909
17031210501,44,41.9372636795455,-87.7221160522727
17031210502,44,41.9336084863636,-87.7222901295455
17031220500,44,41.9291096045455,-87.7047416840909
17031243500,44,41.8941038727273,-87.6522238613637
17031770500,44,42.0123552863636,-87.9353883954546
17031804108,44,42.0728293136364,-88.0501958363636
17031806004,44,42.046686425,-87.8367484818182
17031808400,44,42.0488136818182,-87.7967984977273
17031816100,44,41.8672953136364,-87.8118429113636
17031817200,44,41.8830568431818,-87.8542780272727
17031818200,44,41.8629771659091,-87.8755118954546
17043840706,44,41.9192894522727,-87.9320128613636
17111871402,44,42.1906369522727,-88.2203527977273
17031031400,43,41.9586347604651,-87.6480178325582
17031803008,43,42.1188037767442,-87.9686957813954
17031804714,43,42.0612336255814,-88.0936590372093
17031805110,43,42.0631650883721,-87.9738197883721
17089851907,43,41.9979567883721,-88.3270727860465
17031140500,42,41.9652955333333,-87.7318252785714
17031190300,42,41.9351024738095,-87.7614028142857
17031191301,42,41.9207968190476,-87.7806112428571
17031252102,42,41.8769315928571,-87.7606831595238
17031803603,42,42.1162823952381,-88.0922984
17031803608,42,42.1465784809524,-88.0559759976191
17031804313,42,42.0617950857143,-88.2444488738095
17031805001,42,42.0568489714286,-87.9493418476191
17031805401,42,42.0316745761905,-87.8228017214286
17031816200,42,41.9027128404762,-87.8402973761905
17043841103,42,41.9687199476191,-88.0995789880952
17043841111,42,41.9563436190476,-88.0876084880952
17097864407,42,42.2266861952381,-88.0863789619048
17031081403,41,41.8910815390244,-87.6191410853659
17031160700,41,41.9502573756098,-87.7024659073171
17031803605,41,42.1293328634146,-88.0246495219512
17031817700,41,41.8712076804878,-87.851257495122
17031832400,41,41.9155965512195,-87.6928370365854
17043841102,41,41.9822245390244,-88.1187694804878
17031020500,40,41.9996384625,-87.684123555
17031100400,40,41.98883657,-87.8187139825
17031120400,40,41.9736177175,-87.7511229025
17031160100,40,41.9652440325,-87.7420629175
17031160502,40,41.9557634175,-87.712994125
17031251900,40,41.8833825275,-87.760308715
17031803800,40,42.10943679,-88.03610849
17031804000,40,42.07492531,-88.018888855
17031804316,40,42.02617245,-88.1997258825
17031804608,40,42.0353687775,-88.0685479575
17031804610,40,42.0225949675,-88.0514616825
17031804805,40,42.01957815,-88.1292972025
17031815900,40,41.882900645,-87.8101672
17043840000,40,41.9649770775,-87.953041195
17043841002,40,41.96544923,-88.065390285
17043843700,40,41.87724841,-87.9798489825
17111871202,40,42.2193403675,-88.328716755
17197883505,40,41.4991885175,-87.80925847
17031020801,39,41.9870779435898,-87.6945514794872
17031030500,39,41.9872730307692,-87.6657777076923
17031110501,39,41.9768744461538,-87.7617112051282
17031150501,39,41.9644374923077,-87.7816347461539
17031190800,39,41.9271136102564,-87.7518928974359
17031803017,39,42.1235521538462,-88.0018268410256
17031803616,39,42.1292759923077,-88.0644356051282
17031804514,39,41.9919107564103,-88.2420875589744
17031805112,39,42.0250205589744,-87.929083725641
17031812000,39,41.8881291871795,-87.8168045435898
17031816300,39,41.9041286871795,-87.8590989307692
17031817300,39,41.8841466230769,-87.8479802897436
17031831200,39,41.9155843769231,-87.7308467948718
17043840304,39,41.9385842871795,-88.023239574359
17089850106,39,42.1300402230769,-88.3042658128205
17031031300,38,41.9721426421053,-87.6527886131579
17031063200,38,41.9381684184211,-87.6412332184211
17031170600,38,41.9409946026316,-87.8315796157895
17031190200,38,41.9348072052632,-87.7518774263158
17031190702,38,41.9265123026316,-87.7613176052632
17031802605,38,42.0983088631579,-87.915403931579
17031803607,38,42.1167744921053,-88.0142269447368
17031806600,38,42.0038991789474,-87.8757384763158
17031808200,38,42.0297168184211,-87.8004582184211
17031814400,38,41.826698668421,-87.7637481447369
17043841204,38,41.9279901,-88.0930667236842
17043842710,38,41.8449780421053,-88.0699908921053
17089850600,38,42.0883288368421,-88.3172217131579
17111871305,38,42.2258325157895,-88.2339399157895
17031031000,37,41.9724756540541,-87.6708327810811
17031251200,37,41.8984463756757,-87.7611995918919
17031661100,37,41.7619646621622,-87.7021548513514
17031801606,37,42.1157203054054,-87.8620090594595
17031802503,37,42.1307120054054,-87.9542051405405
17031803901,37,42.1035032297297,-88.0141360027027
17031804709,37,42.0364537054054,-88.0896360837838
17031804807,37,42.0109009108108,-88.1207013351351
17031806005,37,42.0433587702703,-87.8529232189189
17031811701,37,41.9331780837838,-87.8984262837838
17031816800,37,41.8851573432432,-87.908687545946
17043841308,37,41.9579964189189,-88.2181552432433
17089850709,37,42.0000329189189,-88.4038724891892
17093890104,37,41.7160460702703,-88.2698587783784
17097864402,37,42.2178090135135,-88.0365178027027
17097864520,37,42.166735972973,-87.9480290351351
17031140702,36,41.9633019166667,-87.7131552666667
17031241400,36,41.9063973555556,-87.6753825277778
17031251800,36,41.8831473666667,-87.7488459833334
17031803701,36,42.1189206861111,-88.0515562138889
17031805702,36,41.9922793166667,-87.8417499138889
17031814600,36,41.8612571416667,-87.7850134194445
17031842200,36,41.9042271638889,-87.6462265305556
17043840202,36,41.9525382416667,-88.0137977138889
17043841321,36,41.95802145,-88.1635866027778
17043841705,36,41.8978200972222,-88.0699889
17043843601,36,41.8817618527778,-87.9942665277778
17111871311,36,42.1770993055556,-88.2971952694444
