stop_id,stop_name,stop_lat,stop_lon
crosstownerstation-lawrence-ruby,Lawrence/Ruby,41.965808,-87.87082
crosstownerstation-maywood,Maywood,41.888381,-87.838612
crosstownerstation-mccormick-place,McCormick Place,41.851534,-87.61631
crosstownerstation-melrose-park,Melrose Park,41.89033,-87.855649
crosstownerstation-montrose-mayfair,Montrose (Mayfair),41.960616,-87.744389
crosstownerstation-mount-prospect,Mount Prospect,42.063026,-87.936072
crosstownerstation-narragansett-ave-galewood,Narragansett Ave (Galewood),41.916394,-87.785869
crosstownerstation-north-ridgeway,North/Ridgeway,41.909009,-87.719629
crosstownerstation-norwood-park,Norwood Park,41.991586,-87.798872
crosstownerstation-o-hare-transfer,O'Hare Transfer,41.994935,-87.880497
crosstownerstation-oak-park-ave-mars,Oak Park Ave (Mars),41.919076,-87.794452
crosstownerstation-oak-park-harlem-lake,Oak Park - Harlem/Lake,41.887071,-87.802176
crosstownerstation-oakwood-blvd,Oakwood Blvd,41.824736,-87.602285
crosstownerstation-palatine,Palatine,42.11306,-88.048253
crosstownerstation-park-ridge,Park Ridge,42.010275,-87.831616
crosstownerstation-peterson-ridge,Peterson/Ridge,41.991487,-87.675032
crosstownerstation-prairie-street,Prairie St,41.662493,-87.675061
crosstownerstation-randolph-clinton,Randolph/Clinton (Ogilvie),41.884432,-87.641273
crosstownerstation-ravenswood,Ravenswood,41.968808,-87.674332
crosstownerstation-ravinia,Ravinia,42.165153,-87.782736
crosstownerstation-river-forest,River Forest,41.886943,-87.825007
crosstownerstation-river-grove,River Grove,41.930986,-87.83608
crosstownerstation-riverside,Riverside,41.827139,-87.820072
crosstownerstation-rogers-park,Rogers Park,42.008999,-87.675533
crosstownerstation-roosevelt,Roosevelt,41.867434,-87.627466
crosstownerstation-rosemont-balmoral-ave,Rosemont - Balmoral Ave,41.976019,-87.873759
crosstownerstation-schiller-park-irving-park-rd,Schiller Park - Irving Park Rd,41.954224,-87.865906
crosstownerstation-south-shore,South Shore,41.765102,-87.565627
crosstownerstation-state-street,State St,41.674418,-87.621932
crosstownerstation-stewart-ridge,Stewart Ridge,41.674482,-87.631674
crosstownerstation-stony-island,Stony Island,41.766062,-87.586913
crosstownerstation-taylor-clinton,Taylor/Clinton,41.86978,-87.640785
crosstownerstation-union-station,Union Station,41.8787,-87.639077
crosstownerstation-west-hinsdale,West Hinsdale,41.799088,-87.945385
crosstownerstation-west-pullman,West Pullman,41.674098,-87.642145
crosstownerstation-western-18th,Western/18th,41.857608,-87.685747
crosstownerstation-western-kinzie,Western/Hubbard,41.888988,-87.68815
crosstownerstation-western-logan,Western/Logan,41.928731,-87.687809
crosstownerstation-western-springs,Western Springs,41.80894,-87.901182
crosstownerstation-westmont,Westmont,41.79544,-87.976413
crosstownerstation-wilmette,Wilmette,42.077266,-87.709265
crosstownerstation-winnetka,Winnetka,42.105228,-87.732868
metra-103rd-bev,103rd (Beverly Hills),41.7061111,-87.6688889
metra-107th-bev,107th (Beverly Hills),41.6988889,-87.67
metra-111th-bev,111th (Morgan Park),41.6927778,-87.6705556
metra-115th-bev,115th (Morgan Park),41.685,-87.6716667
metra-147th-up,147th (Sibley Blvd),41.6227778,-87.6361111
metra-91st-bev,91st (Beverly Hills),41.7280556,-87.6672222
metra-95th-bev,95th (Beverly Hills),41.7213889,-87.6672222
metra-99th-bev,99th (Beverly Hills),41.7136111,-87.6675
metra-ashland,Ashland,41.6694444,-87.6605556
metra-brynmawr,Bryn Mawr,41.7661111,-87.5766667
metra-cumberland,Cumberland,42.0525,-87.9122222
metra-fairviewdg,Fairview Ave,41.7952778,-87.9936111
metra-ivanhoe,Ivanhoe,41.6333333,-87.6302778
metra-kensingtn,Kensington,41.6858333,-87.6122222
metra-lavergne,LaVergne,41.8355556,-87.7833333
metra-mainst,Main St (Evanston),42.0333333,-87.68
metra-racine,Racine,41.6741667,-87.6519444
metra-raviniapk,Ravinia Park,42.1580556,-87.7769444
metra-riverdale,Riverdale,41.6466667,-87.6233333
metra-windsorpk,Windsor Park,41.7586111,-87.5594444
