crosstownerstation-berwyn-ridgeland-ave-lavergne	Berwyn - Ridgeland Ave (LaVergne)	41.835485	-87.783380
crosstownerstation-berwyn-oak-park-ave	Berwyn - Oak Park Ave	41.833087	-87.793679
crosstownerstation-berwyn-harlem-ave	Berwyn - Harlem Ave	41.831328	-87.801919
crosstownerstation-riverside	Riverside	41.827139	-87.820072
crosstownerstation-hollywood	Hollywood	41.824453	-87.833805
crosstownerstation-brookfield	Brookfield	41.821990	-87.843118
crosstownerstation-congress-park	Congress Park	41.819016	-87.857623
crosstownerstation-lagrange-road	LaGrange Road	41.815786	-87.870970
crosstownerstation-lagrange-stone-ave	LaGrange - Stone Ave	41.814186	-87.878351
crosstownerstation-western-springs	Western Springs	41.808940	-87.901182
crosstownerstation-highlands	Highlands	41.805038	-87.918348
crosstownerstation-hinsdale	Hinsdale	41.802798	-87.928348
crosstownerstation-west-hinsdale	West Hinsdale	41.799088	-87.945385
crosstownerstation-clarendon-hills	Clarendon Hills	41.797072	-87.953539
crosstownerstation-westmont	Westmont	41.795440	-87.976413
crosstownerstation-downers-grove-fairview-avenue	Downers Grove - Fairview Avenue	41.795344	-87.993579
crosstownerstation-downers-grove-main-street	Downers Grove - Main Street	41.795312	-88.009758
crosstownerstation-elmhurst	Elmhurst	41.899754	-87.940836
crosstownerstation-berkeley	Berkeley	41.896048	-87.915301
crosstownerstation-bellwood	Bellwood	41.891224	-87.881098
crosstownerstation-melrose-park	Melrose Park	41.890330	-87.855649
crosstownerstation-maywood	Maywood	41.888381	-87.838612
crosstownerstation-river-forest	River Forest	41.886943	-87.825007
crosstownerstation-oak-park-harlem-lake	Oak Park - Harlem/Lake	41.887071	-87.802176
crosstownerstation-cicero-kinzie	Cicero/Kinzie	41.887678	-87.745571
crosstownerstation-kedzie	Kedzie	41.888221	-87.706518
crosstownerstation-union-station	Union Station	41.878700	-87.639077
crosstownerstation-35th-street-lou-jones	35th Street/Lou Jones	41.831136	-87.629013
crosstownerstation-59th-perry	59th/Perry	41.786989	-87.628267
crosstownerstation-79th-auburn-park	79th (Auburn Park)	41.750814	-87.639446
crosstownerstation-gresham	Gresham	41.736351	-87.644763
crosstownerstation-brainerd	Brainerd	41.732252	-87.658925
crosstownerstation-95th-street	95th Street	41.721330	-87.667251
crosstownerstation-99th-street	99th Street	41.713578	-87.667465
crosstownerstation-103rd-street	103rd Street	41.706081	-87.668881
crosstownerstation-111th-street	111th Street	41.692783	-87.670598
crosstownerstation-115th-street	115th Street	41.684996	-87.671671
crosstownerstation-119th-street	119th Street	41.676374	-87.672529
crosstownerstation-123rd-street	123rd Street	41.669995	-87.673645
crosstownerstation-prairie-street	Prairie Street	41.662493	-87.675061
crosstownerstation-mchenry	McHenry	42.343447	-88.276005
crosstownerstation-pingree-road	Pingree Road	42.234142	-88.297934
crosstownerstation-fox-lake	Fox Lake	42.398393	-88.182235
crosstownerstation-ingleside	Ingleside	42.383908	-88.153567
crosstownerstation-round-lake	Round Lake	42.354421	-88.094130
crosstownerstation-grayslake-lake-st	Grayslake - Lake St	42.333613	-88.043361
crosstownerstation-prairie-crossing-f	Prairie Crossing [F]	42.320859	-88.015337
crosstownerstation-libertyville	Libertyville	42.291088	-87.956500
crosstownerstation-rondout	Rondout	42.281151	-87.897363
crosstownerstation-130th-altgeld-gardens	130th (Altgeld Gardens)	41.661247	-87.595575
crosstownerstation-hegewisch	Hegewisch	41.645530	-87.542667
crosstownerstation-hammond-gateway	Hammond Gateway	41.632023	-87.522227
crosstownerstation-downtown-hammond	Downtown Hammond	41.614800	-87.519019
crosstownerstation-south-hammond	South Hammond	41.582496	-87.518544
crosstownerstation-munster-ridge-rd	Munster - Ridge Rd	41.563498	-87.518428
crosstownerstation-dyer-main-st	Dyer - Main St	41.522464	-87.517971
crosstownerstation-ogilvie-transportation-center	Ogilvie Transportation Center	41.882982	-87.640428
crosstownerstation-highwood	Highwood	42.203281	-87.810717
crosstownerstation-fort-sheridan	Fort Sheridan	42.217458	-87.821059
crosstownerstation-lake-forest-east	Lake Forest [East]	42.252473	-87.839684
crosstownerstation-lake-bluff	Lake Bluff	42.279786	-87.846551
crosstownerstation-great-lakes	Great Lakes	42.306959	-87.846336
crosstownerstation-north-chicago	North Chicago	42.328664	-87.837067
crosstownerstation-waukegan	Waukegan	42.360637	-87.828312
crosstownerstation-beach-park	Beach Park	42.429672	-87.819553
