cluster,members,max_m
225,metra:Stewart Ridge | crosstowner:Stewart Ridge,4
226,metra:State St. | crosstowner:State St,3
230,metra:Chicago Union Station | crosstowner:Union Station,26
235,metra:Rosemont | crosstowner:Rosemont - Balmoral Ave,15
236,metra:Franklin Pk | crosstowner:Franklin Park - Belmont Ave,10
239,"metra:35th St. - Lou Jones | cta_rail:Sox-35th | crosstowner:35th (""""Lou"""" Jones)",124
241,metra:Peterson/Ridge | crosstowner:Peterson/Ridge,42
247,cta_rail:Jackson (Blue) | cta_rail:Jackson (Red),141
278,cta_rail:95th/Dan Ryan | rle:95th/Dan Ryan (RLE),0
281,cta_rail:Cicero (Green) | crosstowner:Cicero/Lake,148
307,cta_rail:Monroe (Blue) | cta_rail:Monroe (Red),139
339,cta_rail:Clinton (Green/Pink) | crosstowner:Randolph/Clinton (Ogilvie),145
356,cta_rail:Montrose (Blue) | crosstowner:Montrose (Mayfair),127
360,cta_rail:Roosevelt | crosstowner:Roosevelt,37
364,cta_rail:Addison (Brown) | crosstowner:Addison/Lincoln,75
